78.0,1425879230722437677
79.0,1425879230735895929
80.0,1425879230749293146
79.0,1425879230756037531
80.0,1425879230762720881
81.0,1425879230782862482
82.0,1425879230789606867
83.0,1425879230796290216
84.0,1425879230803004084
85.0,1425879230809748468
84.0,1425879230850001154
85.0,1425879230863459406
84.0,1425879230896998224
83.0,1425879230923884211
84.0,1425879230930567560
85.0,1425879230950709162
86.0,1425879230957453547
85.0,1425879230964136896
84.0,1425879231011164484
83.0,1425879231031306086
82.0,1425879231058131037
81.0,1425879231111841974
80.0,1425879231172266779
79.0,1425879231199122248
78.0,1425879231232691584
77.0,1425879231266291437
76.0,1425879231293116388
75.0,1425879231326716242
74.0,1425879231366999445
75.0,1425879231387141047
74.0,1425879231420679865
73.0,1425879231427424250
72.0,1425879231447535334
71.0,1425879231548243341
72.0,1425879231628809748
71.0,1425879231642237482
70.0,1425879231682551203
71.0,1425879231709376154
70.0,1425879231763117609
69.0,1425879231789942560
70.0,1425879231803400812
69.0,1425879231863795099
68.0,1425879231917536554
67.0,1425879231951075373
68.0,1425879231977961359
67.0,1425879231984675226
68.0,1425879231991389093
67.0,1425879232004786310
66.0,1425879232038386164
67.0,1425879232071955500
66.0,1425879232098780451
65.0,1425879232112208185
64.0,1425879232172663508
63.0,1425879232186091242
64.0,1425879232192805109
63.0,1425879232199488459
62.0,1425879232273371515
61.0,1425879232293513117
60.0,1425879232360651789
59.0,1425879232400904474
58.0,1425879232461359797
57.0,1425879232501612482
56.0,1425879232548609552
55.0,1425879232595606623
56.0,1425879232609034357
55.0,1425879232622462091
54.0,1425879232709772883
55.0,1425879232750056086
54.0,1425879232877589045
55.0,1425879232884333429
54.0,1425879232964869318
55.0,1425879232971613703
54.0,1425879232978327570
53.0,1425879233005183039
52.0,1425879233018610773
51.0,1425879233052149591
50.0,1425879233058893976
48.0,1425879233139460383
47.0,1425879233260309992
46.0,1425879233266993341
45.0,1425879233320734797
44.0,1425879233327448664
43.0,1425879233347590265
42.0,1425879233361018000
41.0,1425879233381159601
40.0,1425879233394587336
39.0,1425879233428156672
38.0,1425879233502009211
37.0,1425879233582545099
36.0,1425879233609400568
37.0,1425879233649714289
36.0,1425879233669825373
35.0,1425879233683253107
36.0,1425879233689997492
35.0,1425879233696680841
36.0,1425879233703394709
37.0,1425879233730250177
38.0,1425879234012232599
37.0,1425879234025660334
36.0,1425879234045832453
35.0,1425879234052546320
34.0,1425879234072657404
35.0,1425879234092799006
34.0,1425879234126398859
33.0,1425879234139826593
31.0,1425879234173395929
33.0,1425879234200251398
34.0,1425879234260676203
35.0,1425879234280787287
36.0,1425879234294245539
37.0,1425879234307673273
38.0,1425879234327814875
39.0,1425879234394923029
40.0,1425879234401667414
41.0,1425879234428522883
40.0,1425879234462092218
39.0,1425879234535944758
38.0,1425879234542628107
37.0,1425879234582911310
38.0,1425879234643366633
39.0,1425879234690363703
40.0,1425879234710505304
41.0,1425879234784327326
40.0,1425879234804499445
41.0,1425879234817896662
40.0,1425879234824641047
41.0,1425879235079768000
40.0,1425879235126734552
41.0,1425879235133478937
40.0,1425879235140162287
39.0,1425879235254328547
38.0,1425879235267756281
37.0,1425879235355006037
38.0,1425879235502741633
37.0,1425879235536310968
38.0,1425879235542994318
39.0,1425879235576594172
40.0,1425879235596735773
39.0,1425879235603449640
40.0,1425879235657130060
39.0,1425879235663874445
38.0,1425879235690729914
39.0,1425879235710840998
38.0,1425879235717585383
39.0,1425879235724268732
40.0,1425879235744440851
39.0,1425879235784724054
38.0,1425879235845148859
37.0,1425879235865259943
36.0,1425879235892145929
37.0,1425879235918970881
38.0,1425879235939143000
37.0,1425879235945856867
38.0,1425879235952570734
37.0,1425879235965998468
38.0,1425879236019709406
39.0,1425879236033106623
40.0,1425879236046534357
39.0,1425879236053278742
40.0,1425879236100275812
41.0,1425879236127131281
42.0,1425879236133845148
43.0,1425879236167414484
44.0,1425879236194269953
45.0,1425879236214381037
46.0,1425879236247980890
47.0,1425879236281519709
46.0,1425879236335230646
47.0,1425879236348658381
48.0,1425879236362086115
50.0,1425879236395655451
48.0,1425879236435938654
50.0,1425879236462794123
48.0,1425879236496363459
50.0,1425879236590388117
48.0,1425879236704523859
50.0,1425879236717951593
48.0,1425879236724634943
50.0,1425879236738093195
48.0,1425879236932795343
47.0,1425879236966334162
46.0,1425879236979761896
47.0,1425879237046917109
48.0,1425879237067058710
47.0,1425879237087169794
46.0,1425879237107341913
47.0,1425879237120769648
48.0,1425879237147625116
47.0,1425879237476604609
46.0,1425879237503460077
47.0,1425879237510173945
48.0,1425879237537029413
47.0,1425879237577282099
48.0,1425879237624309687
47.0,1425879237651165156
